chart_index,pool,theme_name,x_left,x_right,y_label,slope_condition,legend_a_file,legend_b_file,statement_type,truth_value,comparison_frame,statement_text,category_a,category_b
1,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_01_legend_a.png,linechart_01_legend_b.png,interaction,0,less,The value of Rock increases more slowly than EDM.,Rock,EDM
2,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_02_legend_a.png,linechart_02_legend_b.png,main_effect,1,more,The overall value of Swimming is greater than Yoga.,Swimming,Yoga
2,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_02_legend_a.png,linechart_02_legend_b.png,main_effect,0,more,The overall value of Yoga is greater than Swimming.,Yoga,Swimming
2,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_02_legend_a.png,linechart_02_legend_b.png,interaction,1,more,The value of Weights increases more strongly than Cycling.,Weights,Cycling
2,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_02_legend_a.png,linechart_02_legend_b.png,interaction,0,more,The value of Weights increases more strongly than Running.,Weights,Running
2,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_02_legend_a.png,linechart_02_legend_b.png,main_effect,1,less,The overall value of Yoga is less than Swimming.,Yoga,Swimming
2,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_02_legend_a.png,linechart_02_legend_b.png,main_effect,0,less,The overall value of Swimming is less than Yoga.,Swimming,Yoga
2,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_02_legend_a.png,linechart_02_legend_b.png,interaction,1,less,The value of Cycling increases more slowly than Weights.,Cycling,Weights
2,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_02_legend_a.png,linechart_02_legend_b.png,interaction,0,less,The value of Weights increases more slowly than Running.,Weights,Running
3,real,Campus Clubs,2024,2025,Active members,increasing,linechart_03_legend_a.png,linechart_03_legend_b.png,main_effect,1,more,The overall value of Volunteering is greater than Robotics.,Volunteering,Robotics
3,real,Campus Clubs,2024,2025,Active members,increasing,linechart_03_legend_a.png,linechart_03_legend_b.png,main_effect,0,more,The overall value of Robotics is greater than Volunteering.,Robotics,Volunteering
3,real,Campus Clubs,2024,2025,Active members,increasing,linechart_03_legend_a.png,linechart_03_legend_b.png,interaction,1,more,The value of Photography increases more strongly than Drama.,Photography,Drama
3,real,Campus Clubs,2024,2025,Active members,increasing,linechart_03_legend_a.png,linechart_03_legend_b.png,interaction,0,more,The value of Drama increases more strongly than Gaming.,Drama,Gaming
3,real,Campus Clubs,2024,2025,Active members,increasing,linechart_03_legend_a.png,linechart_03_legend_b.png,main_effect,1,less,The overall value of Robotics is less than Volunteering.,Robotics,Volunteering
3,real,Campus Clubs,2024,2025,Active members,increasing,linechart_03_legend_a.png,linechart_03_legend_b.png,main_effect,0,less,The overall value of Volunteering is less than Robotics.,Volunteering,Robotics
3,real,Campus Clubs,2024,2025,Active members,increasing,linechart_03_legend_a.png,linechart_03_legend_b.png,interaction,1,less,The value of Drama increases more slowly than Photography.,Drama,Photography
3,real,Campus Clubs,2024,2025,Active members,increasing,linechart_03_legend_a.png,linechart_03_legend_b.png,interaction,0,less,The value of Drama increases more slowly than Gaming.,Drama,Gaming
4,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_04_legend_a.png,linechart_04_legend_b.png,main_effect,1,more,The overall value of Tacos is greater than Salads.,Tacos,Salads
4,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_04_legend_a.png,linechart_04_legend_b.png,main_effect,0,more,The overall value of Salads is greater than Tacos.,Salads,Tacos
4,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_04_legend_a.png,linechart_04_legend_b.png,interaction,1,more,The value of Noodles increases more strongly than Pizza.,Noodles,Pizza
4,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_04_legend_a.png,linechart_04_legend_b.png,interaction,0,more,The value of Noodles increases more strongly than Burgers.,Noodles,Burgers
4,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_04_legend_a.png,linechart_04_legend_b.png,main_effect,1,less,The overall value of Salads is less than Tacos.,Salads,Tacos
4,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_04_legend_a.png,linechart_04_legend_b.png,main_effect,0,less,The overall value of Tacos is less than Salads.,Tacos,Salads
4,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_04_legend_a.png,linechart_04_legend_b.png,interaction,1,less,The value of Pizza increases more slowly than Noodles.,Pizza,Noodles
4,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_04_legend_a.png,linechart_04_legend_b.png,interaction,0,less,The value of Noodles increases more slowly than Burgers.,Noodles,Burgers
5,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_05_legend_a.png,linechart_05_legend_b.png,main_effect,1,more,The overall value of Walk is greater than Bike.,Walk,Bike
5,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_05_legend_a.png,linechart_05_legend_b.png,main_effect,0,more,The overall value of Bike is greater than Walk.,Bike,Walk
5,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_05_legend_a.png,linechart_05_legend_b.png,interaction,1,more,The value of Scooter increases more strongly than Train.,Scooter,Train
5,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_05_legend_a.png,linechart_05_legend_b.png,interaction,0,more,The value of Train increases more strongly than Bike.,Train,Bike
5,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_05_legend_a.png,linechart_05_legend_b.png,main_effect,1,less,The overall value of Bike is less than Walk.,Bike,Walk
5,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_05_legend_a.png,linechart_05_legend_b.png,main_effect,0,less,The overall value of Walk is less than Bike.,Walk,Bike
5,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_05_legend_a.png,linechart_05_legend_b.png,interaction,1,less,The value of Train increases more slowly than Scooter.,Train,Scooter
5,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_05_legend_a.png,linechart_05_legend_b.png,interaction,0,less,The value of Train increases more slowly than Bike.,Train,Bike
6,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_06_legend_a.png,linechart_06_legend_b.png,main_effect,1,more,The overall value of Horror is greater than Drama.,Horror,Drama
6,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_06_legend_a.png,linechart_06_legend_b.png,main_effect,0,more,The overall value of Drama is greater than Horror.,Drama,Horror
6,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_06_legend_a.png,linechart_06_legend_b.png,interaction,1,more,The value of Sci-fi increases more strongly than Comedy.,Sci-fi,Comedy
6,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_06_legend_a.png,linechart_06_legend_b.png,interaction,0,more,The value of Sci-fi increases more strongly than Action.,Sci-fi,Action
6,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_06_legend_a.png,linechart_06_legend_b.png,main_effect,1,less,The overall value of Drama is less than Horror.,Drama,Horror
6,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_06_legend_a.png,linechart_06_legend_b.png,main_effect,0,less,The overall value of Horror is less than Drama.,Horror,Drama
6,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_06_legend_a.png,linechart_06_legend_b.png,interaction,1,less,The value of Comedy increases more slowly than Sci-fi.,Comedy,Sci-fi
6,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_06_legend_a.png,linechart_06_legend_b.png,interaction,0,less,The value of Sci-fi increases more slowly than Action.,Sci-fi,Action
7,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_07_legend_a.png,linechart_07_legend_b.png,main_effect,1,more,The overall value of Beauty is greater than Electronics.,Beauty,Electronics
7,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_07_legend_a.png,linechart_07_legend_b.png,main_effect,0,more,The overall value of Electronics is greater than Beauty.,Electronics,Beauty
7,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_07_legend_a.png,linechart_07_legend_b.png,interaction,1,more,The value of Sports increases more strongly than Groceries.,Sports,Groceries
7,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_07_legend_a.png,linechart_07_legend_b.png,interaction,0,more,The value of Groceries increases more strongly than Electronics.,Groceries,Electronics
7,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_07_legend_a.png,linechart_07_legend_b.png,main_effect,1,less,The overall value of Electronics is less than Beauty.,Electronics,Beauty
7,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_07_legend_a.png,linechart_07_legend_b.png,main_effect,0,less,The overall value of Beauty is less than Electronics.,Beauty,Electronics
7,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_07_legend_a.png,linechart_07_legend_b.png,interaction,1,less,The value of Groceries increases more slowly than Sports.,Groceries,Sports
7,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_07_legend_a.png,linechart_07_legend_b.png,interaction,0,less,The value of Groceries increases more slowly than Electronics.,Groceries,Electronics
8,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_08_legend_a.png,linechart_08_legend_b.png,main_effect,1,more,The overall value of Art is greater than English.,Art,English
8,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_08_legend_a.png,linechart_08_legend_b.png,main_effect,0,more,The overall value of English is greater than Art.,English,Art
8,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_08_legend_a.png,linechart_08_legend_b.png,interaction,1,more,The value of PE increases more strongly than Science.,PE,Science
8,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_08_legend_a.png,linechart_08_legend_b.png,interaction,0,more,The value of PE increases more strongly than Math.,PE,Math
8,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_08_legend_a.png,linechart_08_legend_b.png,main_effect,1,less,The overall value of English is less than Art.,English,Art
8,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_08_legend_a.png,linechart_08_legend_b.png,main_effect,0,less,The overall value of Art is less than English.,Art,English
8,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_08_legend_a.png,linechart_08_legend_b.png,interaction,1,less,The value of Science increases more slowly than PE.,Science,PE
8,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_08_legend_a.png,linechart_08_legend_b.png,interaction,0,less,The value of PE increases more slowly than Math.,PE,Math
9,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_09_legend_a.png,linechart_09_legend_b.png,main_effect,1,more,The overall value of EDM is greater than Hip-hop.,EDM,Hip-hop
9,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_09_legend_a.png,linechart_09_legend_b.png,main_effect,0,more,The overall value of Hip-hop is greater than EDM.,Hip-hop,EDM
9,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_09_legend_a.png,linechart_09_legend_b.png,interaction,1,more,The value of Rock increases more strongly than R&B.,Rock,R&B
9,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_09_legend_a.png,linechart_09_legend_b.png,interaction,0,more,The value of R&B increases more strongly than EDM.,R&B,EDM
9,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_09_legend_a.png,linechart_09_legend_b.png,main_effect,1,less,The overall value of Hip-hop is less than EDM.,Hip-hop,EDM
9,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_09_legend_a.png,linechart_09_legend_b.png,main_effect,0,less,The overall value of EDM is less than Hip-hop.,EDM,Hip-hop
9,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_09_legend_a.png,linechart_09_legend_b.png,interaction,1,less,The value of R&B increases more slowly than Rock.,R&B,Rock
9,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_09_legend_a.png,linechart_09_legend_b.png,interaction,0,less,The value of R&B increases more slowly than EDM.,R&B,EDM
10,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_10_legend_a.png,linechart_10_legend_b.png,main_effect,1,more,The overall value of Weights is greater than Yoga.,Weights,Yoga
10,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_10_legend_a.png,linechart_10_legend_b.png,main_effect,0,more,The overall value of Yoga is greater than Weights.,Yoga,Weights
10,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_10_legend_a.png,linechart_10_legend_b.png,interaction,1,more,The value of Swimming increases more strongly than Cycling.,Swimming,Cycling
10,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_10_legend_a.png,linechart_10_legend_b.png,interaction,0,more,The value of Swimming increases more strongly than Running.,Swimming,Running
10,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_10_legend_a.png,linechart_10_legend_b.png,main_effect,1,less,The overall value of Yoga is less than Weights.,Yoga,Weights
10,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_10_legend_a.png,linechart_10_legend_b.png,main_effect,0,less,The overall value of Weights is less than Yoga.,Weights,Yoga
10,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_10_legend_a.png,linechart_10_legend_b.png,interaction,1,less,The value of Cycling increases more slowly than Swimming.,Cycling,Swimming
10,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_10_legend_a.png,linechart_10_legend_b.png,interaction,0,less,The value of Swimming increases more slowly than Running.,Swimming,Running
11,real,Campus Clubs,2024,2025,Active members,increasing,linechart_11_legend_a.png,linechart_11_legend_b.png,main_effect,1,more,The overall value of Gaming is greater than Robotics.,Gaming,Robotics
11,real,Campus Clubs,2024,2025,Active members,increasing,linechart_11_legend_a.png,linechart_11_legend_b.png,main_effect,0,more,The overall value of Robotics is greater than Gaming.,Robotics,Gaming
11,real,Campus Clubs,2024,2025,Active members,increasing,linechart_11_legend_a.png,linechart_11_legend_b.png,interaction,1,more,The value of Volunteering increases more strongly than Drama.,Volunteering,Drama
11,real,Campus Clubs,2024,2025,Active members,increasing,linechart_11_legend_a.png,linechart_11_legend_b.png,interaction,0,more,The value of Drama increases more strongly than Gaming.,Drama,Gaming
11,real,Campus Clubs,2024,2025,Active members,increasing,linechart_11_legend_a.png,linechart_11_legend_b.png,main_effect,1,less,The overall value of Robotics is less than Gaming.,Robotics,Gaming
11,real,Campus Clubs,2024,2025,Active members,increasing,linechart_11_legend_a.png,linechart_11_legend_b.png,main_effect,0,less,The overall value of Gaming is less than Robotics.,Gaming,Robotics
11,real,Campus Clubs,2024,2025,Active members,increasing,linechart_11_legend_a.png,linechart_11_legend_b.png,interaction,1,less,The value of Drama increases more slowly than Volunteering.,Drama,Volunteering
11,real,Campus Clubs,2024,2025,Active members,increasing,linechart_11_legend_a.png,linechart_11_legend_b.png,interaction,0,less,The value of Drama increases more slowly than Gaming.,Drama,Gaming
12,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_12_legend_a.png,linechart_12_legend_b.png,main_effect,1,more,The overall value of Tacos is greater than Pizza.,Tacos,Pizza
12,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_12_legend_a.png,linechart_12_legend_b.png,main_effect,0,more,The overall value of Pizza is greater than Tacos.,Pizza,Tacos
12,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_12_legend_a.png,linechart_12_legend_b.png,interaction,1,more,The value of Sushi increases more strongly than Salads.,Sushi,Salads
12,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_12_legend_a.png,linechart_12_legend_b.png,interaction,0,more,The value of Sushi increases more strongly than Burgers.,Sushi,Burgers
12,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_12_legend_a.png,linechart_12_legend_b.png,main_effect,1,less,The overall value of Pizza is less than Tacos.,Pizza,Tacos
12,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_12_legend_a.png,linechart_12_legend_b.png,main_effect,0,less,The overall value of Tacos is less than Pizza.,Tacos,Pizza
12,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_12_legend_a.png,linechart_12_legend_b.png,interaction,1,less,The value of Salads increases more slowly than Sushi.,Salads,Sushi
12,real,Restaurant Orders,Lunch,Dinner,Orders,increasing,linechart_12_legend_a.png,linechart_12_legend_b.png,interaction,0,less,The value of Sushi increases more slowly than Burgers.,Sushi,Burgers
13,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_13_legend_a.png,linechart_13_legend_b.png,main_effect,1,more,The overall value of Walk is greater than Car.,Walk,Car
13,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_13_legend_a.png,linechart_13_legend_b.png,main_effect,0,more,The overall value of Car is greater than Walk.,Car,Walk
13,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_13_legend_a.png,linechart_13_legend_b.png,interaction,1,more,The value of Bike increases more strongly than Train.,Bike,Train
13,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_13_legend_a.png,linechart_13_legend_b.png,interaction,0,more,The value of Train increases more strongly than Walk.,Train,Walk
13,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_13_legend_a.png,linechart_13_legend_b.png,main_effect,1,less,The overall value of Car is less than Walk.,Car,Walk
13,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_13_legend_a.png,linechart_13_legend_b.png,main_effect,0,less,The overall value of Walk is less than Car.,Walk,Car
13,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_13_legend_a.png,linechart_13_legend_b.png,interaction,1,less,The value of Train increases more slowly than Bike.,Train,Bike
13,real,Transport Mode Usage,Week 1,Week 2,Trips,increasing,linechart_13_legend_a.png,linechart_13_legend_b.png,interaction,0,less,The value of Train increases more slowly than Walk.,Train,Walk
14,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_14_legend_a.png,linechart_14_legend_b.png,main_effect,1,more,The overall value of Sci-fi is greater than Horror.,Sci-fi,Horror
14,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_14_legend_a.png,linechart_14_legend_b.png,main_effect,0,more,The overall value of Horror is greater than Sci-fi.,Horror,Sci-fi
14,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_14_legend_a.png,linechart_14_legend_b.png,interaction,1,more,The value of Romance increases more strongly than Comedy.,Romance,Comedy
14,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_14_legend_a.png,linechart_14_legend_b.png,interaction,0,more,The value of Romance increases more strongly than Action.,Romance,Action
14,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_14_legend_a.png,linechart_14_legend_b.png,main_effect,1,less,The overall value of Horror is less than Sci-fi.,Horror,Sci-fi
14,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_14_legend_a.png,linechart_14_legend_b.png,main_effect,0,less,The overall value of Sci-fi is less than Horror.,Sci-fi,Horror
14,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_14_legend_a.png,linechart_14_legend_b.png,interaction,1,less,The value of Comedy increases more slowly than Romance.,Comedy,Romance
14,real,Movie Genre Views,Morning,Evening,Views,increasing,linechart_14_legend_a.png,linechart_14_legend_b.png,interaction,0,less,The value of Romance increases more slowly than Action.,Romance,Action
15,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_15_legend_a.png,linechart_15_legend_b.png,main_effect,1,more,The overall value of Beauty is greater than Electronics.,Beauty,Electronics
15,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_15_legend_a.png,linechart_15_legend_b.png,main_effect,0,more,The overall value of Electronics is greater than Beauty.,Electronics,Beauty
15,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_15_legend_a.png,linechart_15_legend_b.png,interaction,1,more,The value of Home increases more strongly than Groceries.,Home,Groceries
15,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_15_legend_a.png,linechart_15_legend_b.png,interaction,0,more,The value of Groceries increases more strongly than Electronics.,Groceries,Electronics
15,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_15_legend_a.png,linechart_15_legend_b.png,main_effect,1,less,The overall value of Electronics is less than Beauty.,Electronics,Beauty
15,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_15_legend_a.png,linechart_15_legend_b.png,main_effect,0,less,The overall value of Beauty is less than Electronics.,Beauty,Electronics
15,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_15_legend_a.png,linechart_15_legend_b.png,interaction,1,less,The value of Groceries increases more slowly than Home.,Groceries,Home
15,real,Shopping Categories,Morning,Evening,Purchases,increasing,linechart_15_legend_a.png,linechart_15_legend_b.png,interaction,0,less,The value of Groceries increases more slowly than Electronics.,Groceries,Electronics
16,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_16_legend_a.png,linechart_16_legend_b.png,main_effect,1,more,The overall value of History is greater than English.,History,English
16,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_16_legend_a.png,linechart_16_legend_b.png,main_effect,0,more,The overall value of English is greater than History.,English,History
16,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_16_legend_a.png,linechart_16_legend_b.png,interaction,1,more,The value of PE increases more strongly than Science.,PE,Science
16,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_16_legend_a.png,linechart_16_legend_b.png,interaction,0,more,The value of PE increases more strongly than Math.,PE,Math
16,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_16_legend_a.png,linechart_16_legend_b.png,main_effect,1,less,The overall value of English is less than History.,English,History
16,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_16_legend_a.png,linechart_16_legend_b.png,main_effect,0,less,The overall value of History is less than English.,History,English
16,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_16_legend_a.png,linechart_16_legend_b.png,interaction,1,less,The value of Science increases more slowly than PE.,Science,PE
16,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_16_legend_a.png,linechart_16_legend_b.png,interaction,0,less,The value of PE increases more slowly than Math.,PE,Math
17,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_17_legend_a.png,linechart_17_legend_b.png,main_effect,1,more,The overall value of EDM is greater than Rock.,EDM,Rock
17,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_17_legend_a.png,linechart_17_legend_b.png,main_effect,0,more,The overall value of Rock is greater than EDM.,Rock,EDM
17,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_17_legend_a.png,linechart_17_legend_b.png,interaction,1,more,The value of Indie increases more strongly than Hip-hop.,Indie,Hip-hop
17,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_17_legend_a.png,linechart_17_legend_b.png,interaction,0,more,The value of Hip-hop increases more strongly than Rock.,Hip-hop,Rock
17,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_17_legend_a.png,linechart_17_legend_b.png,main_effect,1,less,The overall value of Rock is less than EDM.,Rock,EDM
17,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_17_legend_a.png,linechart_17_legend_b.png,main_effect,0,less,The overall value of EDM is less than Rock.,EDM,Rock
17,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_17_legend_a.png,linechart_17_legend_b.png,interaction,1,less,The value of Hip-hop increases more slowly than Indie.,Hip-hop,Indie
17,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_17_legend_a.png,linechart_17_legend_b.png,interaction,0,less,The value of Hip-hop increases more slowly than Rock.,Hip-hop,Rock
18,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_18_legend_a.png,linechart_18_legend_b.png,main_effect,1,more,The overall value of Weights is greater than Yoga.,Weights,Yoga
18,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_18_legend_a.png,linechart_18_legend_b.png,main_effect,0,more,The overall value of Yoga is greater than Weights.,Yoga,Weights
18,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_18_legend_a.png,linechart_18_legend_b.png,interaction,1,more,The value of Cycling increases more strongly than Swimming.,Cycling,Swimming
18,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_18_legend_a.png,linechart_18_legend_b.png,interaction,0,more,The value of Cycling increases more strongly than Running.,Cycling,Running
18,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_18_legend_a.png,linechart_18_legend_b.png,main_effect,1,less,The overall value of Yoga is less than Weights.,Yoga,Weights
18,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_18_legend_a.png,linechart_18_legend_b.png,main_effect,0,less,The overall value of Weights is less than Yoga.,Weights,Yoga
18,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_18_legend_a.png,linechart_18_legend_b.png,interaction,1,less,The value of Swimming increases more slowly than Cycling.,Swimming,Cycling
18,real,Fitness Activities,Last month,This month,Participants,increasing,linechart_18_legend_a.png,linechart_18_legend_b.png,interaction,0,less,The value of Cycling increases more slowly than Running.,Cycling,Running
19,real,Campus Clubs,2024,2025,Active members,increasing,linechart_19_legend_a.png,linechart_19_legend_b.png,main_effect,1,more,The overall value of Volunteering is greater than Robotics.,Volunteering,Robotics
19,real,Campus Clubs,2024,2025,Active members,increasing,linechart_19_legend_a.png,linechart_19_legend_b.png,main_effect,0,more,The overall value of Robotics is greater than Volunteering.,Robotics,Volunteering
